report_period,federal_district,region,административный_персонал,доля_людей_питающихся_в_столовой,доход_банка,количество_клиентов,общее_количество_людей_в_вузе,объем_транзакций,средний_тариф_банка,средняя_стоимость_обеда,студенты
Январь 2023,Северо-Западный ФО,Мурманская обл.,179,67.24,24703.41,2477,3685,776836.74,3.18,313.62,3506
Февраль 2023,Северо-Западный ФО,Мурманская обл.,169,70.98,15351.3,2606,3672,799546.86,1.92,306.81,3503
Март 2023,Северо-Западный ФО,Мурманская обл.,181,70.83,13988.77,2620,3700,842696.8,1.66,321.64,3519
Апрель 2023,Северо-Западный ФО,Мурманская обл.,175,68.12,28742.83,2596,3812,825943.36,3.48,318.16,3637
Май 2023,Северо-Западный ФО,Мурманская обл.,188,59.74,13424.36,2289,3832,674591.19,1.99,294.71,3644
Июнь 2023,Северо-Западный ФО,Мурманская обл.,185,26.05,8639.21,970,3726,299972.5,2.88,309.25,3541
Июль 2023,Северо-Западный ФО,Мурманская обл.,180,13.88,5337.18,520,3747,162224.4,3.29,311.97,3567
Август 2023,Северо-Западный ФО,Мурманская обл.,174,17.39,4670.09,664,3824,207559.76,2.25,312.59,3650
Сентябрь 2023,Северо-Западный ФО,Мурманская обл.,177,76.37,18289.87,2840,3719,879320.8,2.08,309.62,3542
Октябрь 2023,Северо-Западный ФО,Мурманская обл.,185,75.51,24628.9,2818,3733,843455.58,2.92,299.31,3548
Ноябрь 2023,Северо-Западный ФО,Мурманская обл.,178,71.17,14379.51,2653,3728,785765.54,1.83,296.18,3550
Декабрь 2023,Северо-Западный ФО,Мурманская обл.,168,44.73,15729.61,1640,3667,452000.4,3.48,275.61,3499
Январь 2024,Северо-Западный ФО,Мурманская обл.,204,69.21,21371.83,2892,4179,980359.08,2.18,338.99,3975
Февраль 2024,Северо-Западный ФО,Мурманская обл.,192,73.77,19502.44,2974,4032,980022.22,1.99,329.53,3840
Март 2024,Северо-Западный ФО,Мурманская обл.,190,69.38,29890.2,2824,4071,854005.84,3.5,302.41,3881
Апрель 2024,Северо-Западный ФО,Мурманская обл.,203,70.41,24897.06,2936,4171,892367.84,2.79,303.94,3968
Май 2024,Северо-Западный ФО,Мурманская обл.,189,58.98,11790.19,2443,4143,780807.23,1.51,319.61,3954
Июнь 2024,Северо-Западный ФО,Мурманская обл.,185,25.46,10521.14,1016,3993,346090.24,3.04,340.64,3808
Июль 2024,Северо-Западный ФО,Мурманская обл.,195,13.35,3624.73,538,4036,167038.24,2.17,310.48,3841
Август 2024,Северо-Западный ФО,Мурманская обл.,185,16.2,5961.56,658,4065,220798.48,2.7,335.56,3880
Сентябрь 2024,Северо-Западный ФО,Мурманская обл.,194,74.64,22779.85,3002,4022,1016957.52,2.24,338.76,3828
Октябрь 2024,Северо-Западный ФО,Мурманская обл.,196,71.88,23488.37,2868,3990,889710.96,2.64,310.22,3794
Ноябрь 2024,Северо-Западный ФО,Мурманская обл.,193,72.56,28889.51,2961,4082,934935.75,3.09,315.75,3889
Декабрь 2024,Северо-Западный ФО,Мурманская обл.,195,48.63,21498.92,2052,4220,707201.28,3.04,344.64,4025
Январь 2022,Северо-Западный ФО,Архангельская обл.,595,65.86,41116.91,8326,12643,2108559.5,1.95,253.25,12048
Февраль 2022,Северо-Западный ФО,Архангельская обл.,596,68.02,67866.92,8469,12452,2225145.06,3.05,262.74,11856
Март 2022,Северо-Западный ФО,Архангельская обл.,569,66.63,68875.73,8281,12429,2087143.24,3.3,252.04,11860
Апрель 2022,Северо-Западный ФО,Архангельская обл.,630,66.07,59064.11,8546,12935,2140003.86,2.76,250.41,12305
Май 2022,Северо-Западный ФО,Архангельская обл.,606,54.65,33041.55,6995,12801,1978535.75,1.67,282.85,12195
Июнь 2022,Северо-Западный ФО,Архангельская обл.,632,25.52,27469.35,3267,12802,869283.36,3.16,266.08,12170
Июль 2022,Северо-Западный ФО,Архангельская обл.,608,13.14,7653.13,1613,12283,394491.41,1.94,244.57,11675
Август 2022,Северо-Западный ФО,Архангельская обл.,598,17.12,19640.85,2208,12901,567654.72,3.46,257.09,12303
Сентябрь 2022,Северо-Западный ФО,Архангельская обл.,614,70.69,85352.82,9133,12921,2452667.15,3.48,268.55,12307
Октябрь 2022,Северо-Западный ФО,Архангельская обл.,615,70.1,68024.29,8850,12625,2290380.0,2.97,258.8,12010
Ноябрь 2022,Северо-Западный ФО,Архангельская обл.,573,67.06,64881.24,8336,12432,2155522.88,3.01,258.58,11859
Декабрь 2022,Северо-Западный ФО,Архангельская обл.,588,45.29,40987.73,5566,12291,1403689.54,2.92,252.19,11703
Январь 2023,Северо-Западный ФО,Архангельская обл.,648,64.05,74111.16,8820,13771,2734729.2,2.71,310.06,13123
Февраль 2023,Северо-Западный ФО,Архангельская обл.,673,67.66,62355.01,9586,14169,2653404.8,2.35,276.8,13496
Март 2023,Северо-Западный ФО,Архангельская обл.,631,72.24,53271.69,9994,13835,2818607.82,1.89,282.03,13204
Апрель 2023,Северо-Западный ФО,Архангельская обл.,679,68.13,98214.64,9461,13888,2806132.6,3.5,296.6,13209
Май 2023,Северо-Западный ФО,Архангельская обл.,693,59.08,88607.89,8341,14119,2598471.73,3.41,311.53,13426
Июнь 2023,Северо-Западный ФО,Архангельская обл.,651,27.23,21001.53,3766,13833,1039679.62,2.02,276.07,13182
Май 2024,Северо-Западный ФО,Архангельская обл.,693,54.2,50492.1,7963,14692,2563050.81,1.97,321.87,13999
Июль 2023,Северо-Западный ФО,Архангельская обл.,633,12.8,8437.03,1748,13663,482115.88,1.75,275.81,13030
Август 2023,Северо-Западный ФО,Архангельская обл.,651,17.1,18943.82,2320,13573,623152.0,3.04,268.6,12922
Сентябрь 2023,Северо-Западный ФО,Архангельская обл.,642,75.69,92917.43,10548,13937,3215135.88,2.89,304.81,13295
Октябрь 2023,Северо-Западный ФО,Архангельская обл.,701,70.33,91028.77,9953,14153,2783754.57,3.27,279.69,13452
Ноябрь 2023,Северо-Западный ФО,Архангельская обл.,680,70.45,73470.75,9753,13845,2661983.82,2.76,272.94,13165
Декабрь 2023,Северо-Западный ФО,Архангельская обл.,668,47.02,29103.08,6360,13527,1889810.4,1.54,297.14,12859
Январь 2024,Северо-Западный ФО,Архангельская обл.,756,69.26,116676.47,10733,15498,3362434.24,3.47,313.28,14742
Февраль 2024,Северо-Западный ФО,Архангельская обл.,757,69.02,90930.02,10545,15279,3579922.05,2.54,339.49,14522
Март 2024,Северо-Западный ФО,Архангельская обл.,746,69.43,87799.21,10525,15160,3227912.25,2.72,306.69,14414
Апрель 2024,Северо-Западный ФО,Архангельская обл.,756,70.92,88599.31,10878,15339,3572552.76,2.48,328.42,14583
Июнь 2024,Северо-Западный ФО,Архангельская обл.,727,27.35,31315.75,4035,14755,1237776.6,2.53,306.76,14028
Июль 2024,Северо-Западный ФО,Архангельская обл.,714,14.02,12570.45,2177,15532,654710.98,1.92,300.74,14818
Август 2024,Северо-Западный ФО,Архангельская обл.,727,16.08,17962.52,2483,15444,798334.16,2.25,321.52,14717
Сентябрь 2024,Северо-Западный ФО,Архангельская обл.,745,70.24,95558.49,10818,15402,3329564.04,2.87,307.78,14657
Октябрь 2024,Северо-Западный ФО,Архангельская обл.,726,70.29,65461.03,10809,15379,3538434.24,1.85,327.36,14653
Ноябрь 2024,Северо-Западный ФО,Архангельская обл.,682,72.57,93360.62,10851,14953,3483605.04,2.68,321.04,14271
Декабрь 2024,Северо-Западный ФО,Архангельская обл.,739,48.09,38610.56,7445,15483,2383367.85,1.62,320.13,14744
Январь 2022,Северо-Западный ФО,Калининградская обл.,735,63.93,90777.08,9548,14936,2693681.76,3.37,282.12,14201
Февраль 2022,Северо-Западный ФО,Калининградская обл.,655,72.01,72658.34,10329,14345,2651764.17,2.74,256.73,13690
Март 2022,Северо-Западный ФО,Калининградская обл.,654,69.62,48758.77,10005,14372,2500449.6,1.95,249.92,13718
Апрель 2022,Северо-Западный ФО,Калининградская обл.,708,68.19,67619.19,10286,15085,2737618.9,2.47,266.15,14377
Май 2022,Северо-Западный ФО,Калининградская обл.,710,57.76,77083.94,8501,14718,2294164.87,3.36,269.87,14008
Июнь 2022,Северо-Западный ФО,Калининградская обл.,659,27.91,16865.46,4039,14474,1081119.13,1.56,267.67,13815
Июль 2022,Северо-Западный ФО,Калининградская обл.,664,13.38,17607.11,1924,14386,519383.8,3.39,269.95,13722
Август 2022,Северо-Западный ФО,Калининградская обл.,686,17.15,14975.1,2563,14949,709720.33,2.11,276.91,14263
Сентябрь 2022,Северо-Западный ФО,Калининградская обл.,693,70.7,74957.05,10446,14776,2828567.88,2.65,270.78,14083
Октябрь 2022,Северо-Западный ФО,Калининградская обл.,678,70.52,81675.93,10300,14607,2560374.0,3.19,248.58,13929
Ноябрь 2022,Северо-Западный ФО,Калининградская обл.,723,70.67,55453.47,10348,14644,2965426.36,1.87,286.57,13921
Декабрь 2022,Северо-Западный ФО,Калининградская обл.,702,46.61,55143.68,6855,14708,1941678.75,2.84,283.25,14006
Январь 2023,Северо-Западный ФО,Калининградская обл.,750,66.98,99422.83,10681,15947,3003710.82,3.31,281.22,15197
Февраль 2023,Северо-Западный ФО,Калининградская обл.,737,72.04,117414.32,11522,15995,3568824.28,3.29,309.74,15258
Март 2023,Северо-Западный ФО,Калининградская обл.,782,71.54,66698.42,11882,16610,3334920.94,2.0,280.67,15828
Апрель 2023,Северо-Западный ФО,Калининградская обл.,778,66.01,77866.58,10968,16616,3077730.48,2.53,280.61,15838
Май 2023,Северо-Западный ФО,Калининградская обл.,773,57.6,70616.07,9322,16185,2695269.86,2.62,289.13,15412
Июнь 2023,Северо-Западный ФО,Калининградская обл.,768,27.07,31701.52,4473,16525,1326423.42,2.39,296.54,15757
Июль 2023,Северо-Западный ФО,Калининградская обл.,806,13.77,13209.56,2275,16522,691600.0,1.91,304.0,15716
Август 2023,Северо-Западный ФО,Калининградская обл.,786,16.1,20055.8,2658,16515,805453.74,2.49,303.03,15729
Сентябрь 2023,Северо-Западный ФО,Калининградская обл.,762,72.49,74560.63,11790,16265,3601962.9,2.07,305.51,15503
Октябрь 2023,Северо-Западный ФО,Калининградская обл.,742,68.92,54821.49,11008,15973,3132656.64,1.75,284.58,15231
Ноябрь 2023,Северо-Западный ФО,Калининградская обл.,790,70.46,56672.53,11316,16061,3275868.84,1.73,289.49,15271
Декабрь 2023,Северо-Западный ФО,Калининградская обл.,786,44.79,45548.91,7397,16515,2347881.77,1.94,317.41,15729
Январь 2024,Северо-Западный ФО,Калининградская обл.,809,67.81,91448.84,11750,17328,4082537.5,2.24,347.45,16519
Февраль 2024,Северо-Западный ФО,Калининградская обл.,831,67.24,110714.59,11865,17647,3702829.2,2.99,312.08,16816
Март 2024,Северо-Западный ФО,Калининградская обл.,863,70.84,98944.18,12776,18036,4105567.6,2.41,321.35,17173
Апрель 2024,Северо-Западный ФО,Калининградская обл.,883,66.32,130851.79,11962,18038,3814921.04,3.43,318.92,17155
Май 2024,Северо-Западный ФО,Калининградская обл.,796,57.92,73345.67,10145,17517,3395632.95,2.16,334.71,16721
Июнь 2024,Северо-Западный ФО,Калининградская обл.,860,25.7,35884.07,4639,18052,1587790.53,2.26,342.27,17192
Июль 2024,Северо-Западный ФО,Калининградская обл.,865,13.46,27025.73,2403,17854,797219.28,3.39,331.76,16989
Август 2024,Северо-Западный ФО,Калининградская обл.,837,16.8,16091.64,2899,17260,879324.68,1.83,303.32,16423
Сентябрь 2024,Северо-Западный ФО,Калининградская обл.,803,71.47,133108.32,12559,17573,4212288.6,3.16,335.4,16770
Октябрь 2024,Северо-Западный ФО,Калининградская обл.,862,72.45,103600.27,12896,17800,4316678.08,2.4,334.73,16938
Ноябрь 2024,Северо-Западный ФО,Калининградская обл.,839,70.05,130868.03,12335,17609,3989879.1,3.28,323.46,16770
Декабрь 2024,Северо-Западный ФО,Калининградская обл.,843,46.12,41130.28,8305,18008,2507943.9,1.64,301.98,17165
Январь 2022,Северо-Западный ФО,Новгородская обл.,470,66.29,38603.9,6871,10366,1671164.62,2.31,243.22,9896
Февраль 2022,Северо-Западный ФО,Новгородская обл.,478,72.71,37723.2,7510,10330,1905211.9,1.98,253.69,9852
Март 2022,Северо-Западный ФО,Новгородская обл.,527,70.69,34805.75,7611,10767,1861270.05,1.87,244.55,10240
Апрель 2022,Северо-Западный ФО,Новгородская обл.,493,68.88,62151.25,7164,10401,1855261.08,3.35,258.97,9908
Май 2022,Северо-Западный ФО,Новгородская обл.,482,58.68,49510.09,6034,10284,1602268.36,3.09,265.54,9802
Июнь 2022,Северо-Западный ФО,Новгородская обл.,484,27.31,19664.01,2815,10308,744849.0,2.64,264.6,9824
Июль 2022,Северо-Западный ФО,Новгородская обл.,501,14.06,6131.38,1443,10268,354415.23,1.73,245.61,9767
Август 2022,Северо-Западный ФО,Новгородская обл.,517,16.31,11374.05,1723,10566,425994.52,2.67,247.24,10049
Сентябрь 2022,Северо-Западный ФО,Новгородская обл.,476,70.04,59314.04,7214,10300,1932053.48,3.07,267.82,9824
Октябрь 2022,Северо-Западный ФО,Новгородская обл.,511,74.41,68127.98,7910,10631,2102715.3,3.24,265.83,10120
Ноябрь 2022,Северо-Западный ФО,Новгородская обл.,530,67.78,30883.45,7242,10686,1883137.26,1.64,260.03,10156
Декабрь 2022,Северо-Западный ФО,Новгородская обл.,524,48.05,27858.55,5058,10527,1254889.8,2.22,248.1,10003
Январь 2023,Северо-Западный ФО,Новгородская обл.,529,63.85,64290.61,7364,11534,2015379.52,3.19,273.68,11005
Февраль 2023,Северо-Западный ФО,Новгородская обл.,511,68.85,65920.14,7766,11280,2273108.2,2.9,292.7,10769
Март 2023,Северо-Западный ФО,Новгородская обл.,556,69.47,72271.33,8127,11699,2401040.88,3.01,295.44,11143
Апрель 2023,Северо-Западный ФО,Новгородская обл.,528,67.95,43197.39,7693,11323,2009180.81,2.15,261.17,10795
Май 2023,Северо-Западный ФО,Новгородская обл.,530,56.18,29030.14,6310,11233,1687798.8,1.72,267.48,10703
Июнь 2023,Северо-Западный ФО,Новгородская обл.,561,25.8,17801.54,2973,11525,780769.26,2.28,262.62,10964
Июль 2023,Северо-Западный ФО,Новгородская обл.,573,13.72,13157.44,1578,11508,417696.6,3.15,264.7,10935
Август 2023,Северо-Западный ФО,Новгородская обл.,528,16.73,10214.16,1914,11445,526503.12,1.94,275.08,10917
Сентябрь 2023,Северо-Западный ФО,Новгородская обл.,515,73.49,57270.84,8296,11289,2406337.76,2.38,290.06,10774
Октябрь 2023,Северо-Западный ФО,Новгородская обл.,573,69.98,37166.1,8102,11579,2123777.26,1.75,262.13,11006
Ноябрь 2023,Северо-Западный ФО,Новгородская обл.,519,68.95,63551.24,7814,11333,2294268.54,2.77,293.61,10814
Декабрь 2023,Северо-Западный ФО,Новгородская обл.,554,49.16,28858.6,5801,11801,1728059.89,1.67,297.89,11247
Январь 2024,Северо-Западный ФО,Новгородская обл.,603,63.87,79872.67,8255,12925,2435142.45,3.28,294.99,12322
Февраль 2024,Северо-Западный ФО,Новгородская обл.,609,72.97,73566.07,9206,12617,2829464.1,2.6,307.35,12008
Март 2024,Северо-Западный ФО,Новгородская обл.,605,71.96,99307.17,9252,12858,2982197.16,3.33,322.33,12253
Апрель 2024,Северо-Западный ФО,Новгородская обл.,614,67.58,73801.27,8421,12461,2598636.39,2.84,308.59,11847
Май 2024,Северо-Западный ФО,Новгородская обл.,606,55.82,58487.26,7061,12650,2190534.03,2.67,310.23,12044
Июнь 2024,Северо-Западный ФО,Новгородская обл.,610,27.19,19711.58,3354,12337,1016060.76,1.94,302.94,11727
Июль 2024,Северо-Западный ФО,Новгородская обл.,590,14.01,9690.81,1729,12343,544427.52,1.78,314.88,11753
Август 2024,Северо-Западный ФО,Новгородская обл.,646,17.33,16857.84,2247,12966,717354.75,2.35,319.25,12320
Сентябрь 2024,Северо-Западный ФО,Новгородская обл.,590,76.46,62720.08,9419,12320,2825229.05,2.22,299.95,11730
Октябрь 2024,Северо-Западный ФО,Новгородская обл.,587,73.86,83739.16,9276,12560,2948562.12,2.84,317.87,11973
Ноябрь 2024,Северо-Западный ФО,Новгородская обл.,589,69.97,83618.71,9003,12868,2646161.76,3.16,293.92,12279
Декабрь 2024,Северо-Западный ФО,Новгородская обл.,604,47.63,35563.74,6051,12705,1881679.47,1.89,310.97,12101
Январь 2022,Приволжский ФО,Республика Татарстан,1939,68.79,278954.43,28119,40878,8228744.16,3.39,292.64,38939
Февраль 2022,Приволжский ФО,Республика Татарстан,1951,70.76,209027.82,30036,42448,7947825.96,2.63,264.61,40497
Март 2022,Приволжский ФО,Республика Татарстан,1957,67.18,158449.74,27381,40758,7105369.5,2.23,259.5,38801
Апрель 2022,Приволжский ФО,Республика Татарстан,1975,68.75,154158.74,28349,41236,7237499.7,2.13,255.3,39261
Сентябрь 2022,Приволжский ФО,Республика Татарстан,1956,73.72,150079.4,30168,40923,8675110.08,1.73,287.56,38967
Май 2022,Приволжский ФО,Республика Татарстан,1985,55.94,184458.04,23314,41678,6148601.22,3.0,263.73,39693
Июнь 2022,Приволжский ФО,Республика Татарстан,1987,26.38,66655.38,11358,43058,3144121.56,2.12,276.82,41071
Июль 2022,Приволжский ФО,Республика Татарстан,2072,13.7,38871.66,5697,41588,1495063.71,2.6,262.43,39516
Август 2022,Приволжский ФО,Республика Татарстан,2134,16.34,61514.23,7050,43151,1916331.0,3.21,271.82,41017
Октябрь 2022,Приволжский ФО,Республика Татарстан,1912,72.77,176547.91,30617,42075,8173514.32,2.16,266.96,40163
Ноябрь 2022,Приволжский ФО,Республика Татарстан,2037,69.66,182039.9,28659,41142,7846547.61,2.32,273.79,39105
Декабрь 2022,Приволжский ФО,Республика Татарстан,2038,48.4,166419.4,20563,42486,6029688.49,2.76,293.23,40448
Январь 2023,Приволжский ФО,Республика Татарстан,2183,70.13,241530.91,31536,44969,9046101.6,2.67,286.85,42786
Февраль 2023,Приволжский ФО,Республика Татарстан,2281,69.79,255616.57,32259,46223,9000583.59,2.84,279.01,43942
Март 2023,Приволжский ФО,Республика Татарстан,2323,69.37,212812.23,32574,46957,10085887.62,2.11,309.63,44634
Апрель 2023,Приволжский ФО,Республика Татарстан,2177,71.17,190022.55,32684,45924,9845728.16,1.93,301.24,43747
Май 2023,Приволжский ФО,Республика Татарстан,2156,55.68,177021.48,25146,45162,7166861.46,2.47,285.01,43006
Июнь 2023,Приволжский ФО,Республика Татарстан,2329,27.48,125163.66,12875,46853,4050603.75,3.09,314.61,44524
Июль 2023,Приволжский ФО,Республика Татарстан,2276,13.25,59375.21,6060,45736,1777701.0,3.34,293.35,43460
Август 2023,Приволжский ФО,Республика Татарстан,2175,16.79,54228.94,7790,46399,2476207.3,2.19,317.87,44224
Сентябрь 2023,Приволжский ФО,Республика Татарстан,2167,72.05,277009.97,33130,45983,9519242.9,2.91,287.33,43816
Октябрь 2023,Приволжский ФО,Республика Татарстан,2243,70.12,341924.8,32218,45947,10237269.5,3.34,317.75,43704
Ноябрь 2023,Приволжский ФО,Республика Татарстан,2156,68.68,286705.27,32384,47153,9556842.24,3.0,295.11,44997
Декабрь 2023,Приволжский ФО,Республика Татарстан,2076,46.84,195525.33,21034,44908,6110166.66,3.2,290.49,42832
Январь 2024,Приволжский ФО,Республика Татарстан,2410,64.49,154878.99,32296,50080,10256886.64,1.51,317.59,47670
Февраль 2024,Приволжский ФО,Республика Татарстан,2489,69.69,262864.69,36166,51896,11044734.74,2.38,305.39,49407
Март 2024,Приволжский ФО,Республика Татарстан,2499,68.36,354196.51,35206,51502,10864923.66,3.26,308.61,49003
Апрель 2024,Приволжский ФО,Республика Татарстан,2420,68.81,230575.64,35097,51007,10876209.33,2.12,309.89,48587
Май 2024,Приволжский ФО,Республика Татарстан,2476,56.64,282232.66,29110,51395,8959766.9,3.15,307.79,48919
Июнь 2024,Приволжский ФО,Республика Татарстан,2389,27.73,72818.81,13892,50100,4283459.28,1.7,308.34,47711
Июль 2024,Приволжский ФО,Республика Татарстан,2441,13.13,47755.71,6640,50578,2122476.0,2.25,319.65,48137
Июль 2023,Уральский ФО,Свердловская обл.,2173,13.86,44357.59,6143,44329,1739513.31,2.55,283.17,42156
Август 2024,Приволжский ФО,Республика Татарстан,2269,16.26,74585.72,8102,49829,2654296.22,2.81,327.61,47560
Сентябрь 2024,Приволжский ФО,Республика Татарстан,2293,70.4,405502.6,35441,50343,12362884.03,3.28,348.83,48050
Октябрь 2024,Приволжский ФО,Республика Татарстан,2331,72.13,393804.64,36861,51104,12621943.62,3.12,342.42,48773
Ноябрь 2024,Приволжский ФО,Республика Татарстан,2422,67.28,300033.45,33006,49059,10639484.1,2.82,322.35,46637
Декабрь 2024,Приволжский ФО,Республика Татарстан,2352,46.73,119381.63,23101,49436,7603925.16,1.57,329.16,47084
Май 2022,Уральский ФО,Тюменская обл.,1079,55.45,55005.11,12561,22654,3416466.39,1.61,271.99,21575
Январь 2022,Приволжский ФО,Нижегородская обл.,1782,70.04,176799.11,26323,37583,7100366.02,2.49,269.74,35801
Февраль 2022,Приволжский ФО,Нижегородская обл.,1827,71.58,193175.84,26596,37157,7128259.92,2.71,268.02,35330
Март 2022,Приволжский ФО,Нижегородская обл.,1727,71.2,136625.03,26214,36818,6475120.14,2.11,247.01,35091
Апрель 2022,Приволжский ФО,Нижегородская обл.,1735,65.66,164278.21,24390,37146,6760420.2,2.43,277.18,35411
Май 2022,Приволжский ФО,Нижегородская обл.,1777,56.72,180430.5,20279,35754,5169928.26,3.49,254.94,33977
Июнь 2022,Приволжский ФО,Нижегородская обл.,1673,27.24,76566.25,9805,35996,2461937.45,3.11,251.09,34323
Июль 2022,Приволжский ФО,Нижегородская обл.,1688,12.91,42587.62,4664,36132,1238012.16,3.44,265.44,34444
Август 2022,Приволжский ФО,Нижегородская обл.,1691,16.93,35666.38,6056,35772,1613863.44,2.21,266.49,34081
Сентябрь 2022,Приволжский ФО,Нижегородская обл.,1674,74.25,228364.55,27096,36493,7158763.2,3.19,264.2,34819
Октябрь 2022,Приволжский ФО,Нижегородская обл.,1766,73.96,152367.14,27436,37096,7290293.92,2.09,265.72,35330
Ноябрь 2022,Приволжский ФО,Нижегородская обл.,1654,73.66,115967.3,26698,36245,6944149.8,1.67,260.1,34591
Декабрь 2022,Приволжский ФО,Нижегородская обл.,1664,45.09,135520.73,16222,35978,4547675.48,2.98,280.34,34314
Январь 2023,Приволжский ФО,Нижегородская обл.,1837,65.42,240601.74,26214,40071,7448970.24,3.23,284.16,38234
Февраль 2023,Приволжский ФО,Нижегородская обл.,1924,71.5,278539.41,28677,40109,8314609.38,3.35,289.94,38185
Март 2023,Приволжский ФО,Нижегородская обл.,1959,70.05,153832.31,27942,39890,8315259.78,1.85,297.59,37931
Апрель 2023,Приволжский ФО,Нижегородская обл.,1892,69.82,205877.44,27407,39255,8369001.52,2.46,305.36,37363
Май 2023,Приволжский ФО,Нижегородская обл.,2055,56.33,148671.3,23436,41605,7046033.4,2.11,300.65,39550
Июнь 2023,Приволжский ФО,Нижегородская обл.,1973,27.83,49224.85,11550,41503,3115497.0,1.58,269.74,39530
Июль 2023,Приволжский ФО,Нижегородская обл.,1978,12.99,40017.92,5185,39919,1581736.1,2.53,305.06,37941
Август 2023,Приволжский ФО,Нижегородская обл.,1913,16.2,45513.38,6397,39492,1880718.0,2.42,294.0,37579
Сентябрь 2023,Приволжский ФО,Нижегородская обл.,1976,74.87,260384.97,30773,41102,9468544.37,2.75,307.69,39126
Октябрь 2023,Приволжский ФО,Нижегородская обл.,1924,70.96,178958.32,28944,40790,8209097.28,2.18,283.62,38866
Ноябрь 2023,Приволжский ФО,Нижегородская обл.,1898,70.31,151111.47,27863,39629,8080827.26,1.87,290.02,37731
Декабрь 2023,Приволжский ФО,Нижегородская обл.,1828,46.87,78498.05,18770,40047,5130591.8,1.53,273.34,38219
Январь 2024,Приволжский ФО,Нижегородская обл.,2099,69.23,352339.98,31378,45325,10302338.74,3.42,328.33,43226
Февраль 2024,Приволжский ФО,Нижегородская обл.,1963,69.82,210959.01,30026,43006,9998057.48,2.11,332.98,41043
Март 2024,Приволжский ФО,Нижегородская обл.,2117,66.7,242148.1,29586,44357,8805385.32,2.75,297.62,42240
Апрель 2024,Приволжский ФО,Нижегородская обл.,2146,68.98,254373.42,29782,43175,9421237.88,2.7,316.34,41029
Май 2024,Приволжский ФО,Нижегородская обл.,2100,56.1,233950.91,24280,43280,8067272.8,2.9,332.26,41180
Июнь 2024,Приволжский ФО,Нижегородская обл.,2103,26.09,104794.65,11805,45248,3838631.85,2.73,325.17,43145
Июль 2024,Приволжский ФО,Нижегородская обл.,2219,13.76,35232.65,6125,44520,2060388.75,1.71,336.39,42301
Август 2024,Приволжский ФО,Нижегородская обл.,2120,16.28,55867.01,7093,43571,2299054.09,2.43,324.13,41451
Сентябрь 2024,Приволжский ФО,Нижегородская обл.,2109,73.12,243820.05,33122,45299,10788497.84,2.26,325.72,43190
Октябрь 2024,Приволжский ФО,Нижегородская обл.,1996,72.5,288200.98,31345,43235,9480295.25,3.04,302.45,41239
Ноябрь 2024,Приволжский ФО,Нижегородская обл.,2093,67.66,154343.0,29444,43518,9468895.96,1.63,321.59,41425
Декабрь 2024,Приволжский ФО,Нижегородская обл.,2059,46.81,171935.33,21170,45226,6769107.5,2.54,319.75,43167
Январь 2022,Приволжский ФО,Самарская обл.,1547,64.89,106729.15,21463,33076,5707440.96,1.87,265.92,31529
Февраль 2022,Приволжский ФО,Самарская обл.,1534,72.79,125697.97,23930,32876,6546769.4,1.92,273.58,31342
Март 2022,Приволжский ФО,Самарская обл.,1629,68.78,168825.29,23158,33670,6443713.5,2.62,278.25,32041
Апрель 2022,Приволжский ФО,Самарская обл.,1560,67.62,146077.14,22399,33125,5533224.97,2.64,247.03,31565
Май 2022,Приволжский ФО,Самарская обл.,1630,59.56,98559.84,19541,32810,5445295.06,1.81,278.66,31180
Июнь 2022,Приволжский ФО,Самарская обл.,1522,27.27,68726.12,8997,32995,2209843.14,3.11,245.62,31473
Июль 2022,Приволжский ФО,Самарская обл.,1715,13.15,38235.15,4524,34407,1217679.84,3.14,269.16,32692
Август 2022,Приволжский ФО,Самарская обл.,1547,16.14,32507.49,5506,34118,1377436.02,2.36,250.17,32571
Октябрь 2023,Уральский ФО,Тюменская обл.,1228,72.39,106507.63,18122,25035,5665299.64,1.88,312.62,23807
Сентябрь 2022,Приволжский ФО,Самарская обл.,1606,71.32,117277.75,23426,32847,5834713.82,2.01,249.07,31241
Октябрь 2022,Приволжский ФО,Самарская обл.,1713,71.14,116087.56,24571,34539,6077882.56,1.91,247.36,32826
Ноябрь 2022,Приволжский ФО,Самарская обл.,1569,70.4,197664.59,23875,33914,6275066.25,3.15,262.83,32345
Декабрь 2022,Приволжский ФО,Самарская обл.,1629,47.18,100274.04,15629,33127,4248899.94,2.36,271.86,31498
Январь 2023,Приволжский ФО,Самарская обл.,1826,67.09,197870.05,25144,37479,7092116.64,2.79,282.06,35653
Февраль 2023,Приволжский ФО,Самарская обл.,1843,72.08,232263.81,26953,37394,7213161.86,3.22,267.62,35551
Март 2023,Приволжский ФО,Самарская обл.,1819,70.08,183463.69,26532,37861,7549945.92,2.43,284.56,36042
Апрель 2023,Приволжский ФО,Самарская обл.,1671,68.76,237842.93,25164,36597,7574615.64,3.14,301.01,34926
Май 2023,Приволжский ФО,Самарская обл.,1812,57.49,162452.48,21655,37669,5928922.45,2.74,273.79,35857
Июнь 2023,Приволжский ФО,Самарская обл.,1788,27.01,46452.88,9995,37005,2700748.95,1.72,270.21,35217
Июль 2023,Приволжский ФО,Самарская обл.,1711,13.85,38700.15,4973,35909,1392091.89,2.78,279.93,34198
Август 2023,Приволжский ФО,Самарская обл.,1703,17.02,55983.26,6148,36126,1622703.12,3.45,263.94,34423
